OBJECT_NAME;MISSION;PROGRAM;PARENT;NSSDCID;COSPARID;LAUNCH_EPOCH;LAUNCHER;LAUNCH_SITE;OPERATORS;NATION;BUS_TYPE;MASS_TOT;MASS_DRY;POWER;TARGET;TRAJECTORY_COMMENT;RESULT;FAILURE_REASON;RESULT_COMMENT;DISPOSAL_STRATEGY;LAST_KNOWN_BODY;LAST_KNOWN_STATUS;LAST_KNOWN_STATUS_EPOCH;OBSERVATION;OBS_REFERENCE;LAST_KNOWN_LATITUDE;LAST_KNOWN_LONGITUDE;HORIZONS;PERIAPSIS;APOAPSIS;SMA;PERIOD;ECC;INCLINATION;RAAN;AOP;PERIAPSIS_TIME;MEAN_AN;MEAN_AN_EPOCH;SHAPE;SIZE_1;SIZE_2;REFERENCE_NOTES
Pioneer 0;Pioneer 0;Pioneer;-;ABLE1;ABLE1;17/08/1958;Thor-Able;Cape Canaveral, United States;Department of Defense-Department of the Air Force ;USA;R-ORB;;38.1;Unknown;Orbit;LLO;Unproven;Launcher failure;;Unknown;E;Destroyed during launch;17/08/1958;;;;;;;;;;;;;;;;;;;;Siddiqi, Asif A. Beyond Earth: A Chronicle of Deep Space Exploration, 1958-2016. NASA History Program Office, 2018.
Luna 1958A;Luna 1958A;Luna;-;N/A;N/A;23/09/1958;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;360;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;23/09/1958;;;;;;;;;;;;;;;;;;;;
Luna 1958B;Luna 1958B;Luna;-;N/A;N/A;11/10/1958;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;360;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;11/10/1958;;;;;;;;;;;;;;;;;;;;
Pioneer 1;Pioneer 1;Pioneer;-;1958-007A;1958-007A;11/10/1958;Thor-Able;Cape Canaveral, United States;Department of Defense-Department of the Air Force , NASA-Office of Space Science Applications ;USA;R-ORB;;34.2;Unknown;Orbit;;Unproven;Launcher failure;Earth orbit;Unknown;E;Destroyed during launch;13/10/1958;;;;;;;;;;;;;;;;;;;;
Pioneer 2;Pioneer 2;Pioneer;-;PION2;N/A;08/11/1958;Thor-Able;Cape Canaveral, United States;NASA-Office of Space Science Applications , Space Technology Laboratories ;USA;R-ORB;;39.2;Unknown;Orbit;;Unproven;Launcher failure;Earth sub-orbital trajectory;Unknown;E;Destroyed during re-entry;08/11/1958;;;;;;;;;;;;;;;;;;;;
Luna 1958C;Luna 1958C;Luna;-;N/A;N/A;04/12/1958;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;156;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;04/12/1958;;;;;;;;;;;;;;;;;;;;
Pioneer 3;Pioneer 3;Pioneer;-;1958-008A;1958-008A;06/12/1958;Juno 2 (Juno II);Cape Canaveral, United States;Department of Defense-Department of the Army , NASA-Office of Space Science Applications ;USA;R-ORB;;5.87;Unknown;Fly-by;;Unproven;Launcher failure;Earth orbit;Heliocentric orbit;E;Destroyed during re-entry;07/12/1958;;;;;;;;;;;;;;;;;;;;
Luna 1;Luna 1;Luna;-;1959-012A;1959-012A;02/01/1959;Modified SS-6 (Sapwood) with 1st Generation Upper Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;361;Unknown;Impact;;Partial success;Operational error;Accidental Fly-by (first);Moon impact;S;Orbit (Sun);Unknown;yes;;;;No;0.98;1.32;1.15;450.0996062;0.14767;0.01;;;;;;sphere;2;0.56;Siddiqi, Asif A. Beyond Earth: A Chronicle of Deep Space Exploration, 1958-2016. NASA History Program Office, 2018.
Pioneer 4;Pioneer 4;Pioneer;-;1959-013A;1959-013A;03/03/1959;Juno 2 (Juno II);Cape Canaveral, United States;Department of Defense-Department of the Army , NASA-Office of Space Science Applications ;USA;R-ORB;;6.1;Unknown;Fly-by;;Partial success;Spacecraft malfunction;the flyby was too high;Heliocentric orbit;S;Orbit (Sun);18/03/1959;;;;;No;0.98;1.13;1.055;395.4946035;0.07109;29.9;;;;;;cone;0.6;0.115;
Luna 1959A;Luna 1959A;Luna;-;N/A;N/A;18/06/1959;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;390;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;18/06/1959;;;;;;;;;;;;;;;;;;;;
Luna 2;Luna 2;Luna;-;1959-014A;1959-014A;12/09/1959;Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;390.2;Unknown;Impact;;Success;;First spacecraft to impact the Moon's surface;Moon impact;M;Impacted (commanded);14/09/1959;estimated (most estimates give it as within the range 29 to 31 N, 1 W to 1 E);a;30;0;;;;;;;;;;;;;;;;
Luna 2 Upper Stage;Luna 2;Luna;-;1959-014A;1959-014A;12/09/1959;Modified SS-6 (Sapwood) with 2nd Generation (Longer) Upper Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LAU;;390.2;Unknown;Impact;;Success;;;Moon impact;M;Impacted (commanded);14/09/1959;;b;Unknown;Unknown;;;;;;;;;;;;;;;;
Luna 3;Luna 3;Luna;-;1959-008A;1959-008A;04/10/1959;Modified SS-6 (Sapwood) with 1st Generation Upper Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;278.5;Unknown;Fly-by;;Success;;First pictures of the lunar farside.;Destructive Earth re-entry;E;Destroyed during re-entry;29/03/1960;;https://www.orbitalfocus.uk/Diaries/Luna/Luna03.php;;;;;;;;;;;;;;;;;;
Pioneer P-3;Pioneer P-3;Pioneer;-;PIONX;N/A;26/11/1959;Atlas-Able;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;168.7;Unknown;Orbit;;Unproven;Launcher failure;;Unknown;E;Destroyed during launch;26/11/1959;;;;;;;;;;;;;;;;;;;;
Luna 1960A;Luna 1960A;Luna;-;N/A;N/A;15/04/1960;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;280;Unknown;Fly-by;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;15/04/1960;;;;;;;;;;;;;;;;;;;;
Luna 1960B;Luna 1960B;Luna;-;N/A;N/A;16/04/1960;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;280;Unknown;Fly-by;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;16/04/1960;;;;;;;;;;;;;;;;;;;;
Pioneer P-30;Pioneer P-30;Pioneer;-;PIONY;N/A;25/09/1960;Atlas-Able;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;175.5;Unknown;Orbit;;Unproven;Launcher failure;;Unknown;E;Destroyed during re-entry;25/09/1960;;;;;;;;;;;;;;;;;;;;
Pioneer P-31;Pioneer P-31;Pioneer;-;PIONZ;N/A;15/12/1960;Atlas-Able;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;175;Unknown;Orbit;;Unproven;Launcher failure;;Unknown;E;Destroyed during re-entry;15/12/1960;;;;;;;;;;;;;;;;;;;;
Ranger 3;Ranger 3;Ranger;-;1962-001A;1962-001A;26/01/1962;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;329.8;135;Impact;;Failure;Spacecraft malfunction;Accidental Fly-by;Moon impact;S;Orbit (Sun);Unknown;yes;;;;No;0.985;1.164;1.0745;406.5102515;0.083;0.4;;;;;;hexagonal;5.2;1.5;Satlist: https://www.satlist.nl/index.html
Ranger 4;Ranger 4;Ranger;-;1962-012A;1962-012A;23/04/1962;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;331.1;135;Impact;;Failure;Spacecraft malfunction;;Moon impact;M;Impacted (unintentional);26/04/1962;?;c;-15.5;229.3;;;;;;;;;;;;;;;;
Ranger 5;Ranger 5;Ranger;-;1962-055A;1962-055A;18/10/1962;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;342.5;135;Impact;;Failure;Spacecraft malfunction;Accidental Fly-by;Moon impact;S;Orbit (Sun);Unknown;yes;;;;No;0.951;1.064;1.0075;369.0876;0.056;0.41;;;;;;hexagonal;5.2;1.5;Satlist 
Sputnik 25;Sputnik 25;Luna;-;1963-001A;1963-001A;04/01/1963;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1420;Unknown;Soft landing;;Unproven;Launcher failure;Reached Earth orbit;Moon surface;E;Destroyed during re-entry;05/01/1963;;;;;;;;;;;;;;;;;;;;
Luna 1963B;Luna 1963B;Luna;-;N/A;N/A;03/02/1963;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1420;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during launch;03/02/1963;;;;;;;;;;;;;;;;;;;;
Luna 4;Luna 4;Luna;-;1963-008B;1963-008B;02/04/1963;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1422;Unknown;Soft landing;;Failure;Spacecraft malfunction;Accidental Fly-by;Moon surface;E;Orbit (Earth);07/04/1963;no;;;;No;96370 (?);706370 (?);401370;29.29816682;0.76;65 (?);;;;;;cylinder;7.15;2.6;"taken from text of nssdc, it's not clear if the spacecraft was ejected or not,  BARYCENTRIC ORBIT (EARTH-MOON), ""https://www.planet4589.org/space/deepcat/tab2.html"""
Ranger 6;Ranger 6;Ranger;-;1964-007A;1964-007A;30/01/1964;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;381;200;Impact;;Partial success;Spacecraft malfunction;;Moon impact;M;Impacted (commanded);02/02/1964;LRO;d;9.3864;21.4806;;;;;;;;;;;;;;;;
Luna 1964A;Luna 1964A;Luna;-;N/A;N/A;21/03/1964;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1420;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during launch;21/03/1964;;;;;;;;;;;;;;;;;;;;
Luna 1964B;Luna 1964B;Luna;-;N/A;N/A;20/04/1964;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1420;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during launch;20/04/1964;;;;;;;;;;;;;;;;;;;;
Ranger 7;Ranger 7;Ranger;-;1964-041A;1964-041A;28/07/1964;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;365.7;200;Impact;;Success;;first U.S. close-up pictures of the Moon;Moon impact;M;Impacted (commanded);31/07/1964;LRO;d;-10.634;339.323;;;;;;;;;;;;;;;;
Ranger 8;Ranger 8;Ranger;-;1965-010A;1965-010A;17/02/1965;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;367;200;Impact;;Success;;;Moon impact;M;Impacted (commanded);20/02/1965;LRO;d;2.6376;24.7881;;;;;;;;;;;;;;;;
Cosmos 60;Cosmos 60;Cosmos;-;1965-018A;1965-018A;12/03/1965;Molniya;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;6530;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during re-entry;17/03/1965;;;;;;;;;;;;;;;;;;;;
Ranger 9;Ranger 9;Ranger;-;1965-023A;1965-023A;21/03/1965;Atlas-Agena B;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-IMP;;367;200;Impact;;Success;;;Moon impact;M;Impacted (commanded);24/03/1965;LRO;d;-12.8281;357.6116;;;;;;;;;;;;;;;;
Luna 1965A;Luna 1965A;Luna;-;1965-077A;1965-077A;10/04/1965;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1504;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during launch;10/04/1965;;;;;;;;;;;;;;;;;;;;
Luna 5;Luna 5;Luna;-;1965-036A;1965-036A;09/05/1965;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1476;Unknown;Soft landing;;Failure;Spacecraft malfunction;;Moon surface;M;Impacted (unintentional);12/05/1965;"estimated (Other analyses and reports give a wide range of possible impact sites: 1.6 S, 25 W; 8.17 N, 23.43 W; 30 S, 8 W; and 31 S, 8 W)";e;-1.35;334.52;;;;;;;;;;;;;;;;
Luna 6;Luna 6;Luna;-;1965-044A;1965-044A;08/06/1965;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1442;Unknown;Soft landing;;Failure;Spacecraft malfunction;Accidental Fly-by;Moon surface;S;Orbit (Sun);Unknown;;;;;No;0,9 (?);1,1 (?);1;364.9739539;0.1;0 (?);;;;;;cylinder;2.6;1;https://www.planet4589.org/space/deepcat/tab2.html
Zond 3;Zond 3;Zond;-;1965-056A;1965-056A;18/07/1965;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;960;Unknown;Fly-by;;Success;;;Unknown;S;Orbit (Sun);Unknown;;;;;No;0.9;1.56;1.23;497.8741061;0.2683;0.5;;;;;;irregular;2.5;1;
Luna 7;Luna 7;Luna;-;1965-077A;1965-077A;04/10/1965;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1504;Unknown;Soft landing;;Failure;Spacecraft malfunction;attitude system failed to activateretro;Moon surface;M;Impacted (unintentional);07/10/1965;estimated;c;9;311;;;;;;;;;;;;;;;;
Luna 8;Luna 8;Luna;-;1965-099A;1965-099A;03/12/1965;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1552;Unknown;Soft landing;;Failure;Spacecraft malfunction;;Moon surface;M;Impacted (unintentional);06/12/1965;;c;9.1;296.7;;;;;;;;;;;;;;;;
Luna 9;Luna 9;Luna;-;1966-006A;1966-006A;31/01/1966;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;99;Unknown;Soft landing;;Success;; first lunar soft landing and first picture from the lunar surface;Moon surface;M;Soft landed (Moon);03/02/1966;;f;7.13;295.63;;;;;;;;;;;;;;;;Saddiqi has it at 7°8'N and 64°22' W
Cosmos 111;Cosmos 111;Cosmos;-;1966-017A;1966-017A;01/03/1966;Molniya-M;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;6540;Unknown;Orbit;;Unproven;Launcher failure;;Moon impact;E;Destroyed during re-entry;03/03/1966;;;;;;;;;;;;;;;;;;;;NSSDC (disposal strategy deduced by the fact that this mission was the same as Luna 10)
Luna 10;Luna 10;Luna;-;1966-027A;1966-027A;31/03/1966;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;245;Unknown;Orbit;;Success;;First lunar orbiter;Moon impact;M;Impacted (orbit decay);Unknown (1966)   ;;g;Unknown;Unknown;;;;;;;;;;;;;;;;
Luna 1966A;Luna 1966A;Luna;-;N/A;N/A;30/04/1966;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during launch;30/04/1966;;;;;;;;;;;;;;;;;;;;
Surveyor 1;Surveyor 1;Surveyor;-;1966-045A;1966-045A;30/05/1966;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;294.3;Unknown;Soft landing;;Success;; first U.S. Moon landing and first U.S. photo from the lunar surface.;Moon surface;M;Soft landed (Moon);02/06/1966;LRO;d;-2.4745;316.6602;;;;;;;;;;;;;;;;
EXPLORER 33;Explorer 33;Explorer;-;1966-058A;1966-058A;01/07/1966;Thor Delta E-1;Cape Canaveral, United States;NASA;USA;R-ORB;;93.4;42.8;Orbit;;Failure;Launcher failure;Too much speed ;Unknown;E;Orbit (Earth);Unknown;;;;;No;272049;487132;379590.5;26.94611054;0.283;24.14;173.54;119.2;;21.79;05/12/1971 12:00;irregular;1.12;0.71;Space track and Satlist
Lunar Orbiter 1;Lunar Orbiter 1;Lunar Orbiter;-;1966-073A;1966-073A;10/08/1966;Atlas-Agena D;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;385.6;375;Orbit;;Success;;;Moon impact;M;Impacted (commanded);29/10/1966;estimated (conflict ref);h;6.35;160.71;;;;;;;;;;;;;;;;
Luna 11;Luna 11;Luna;-;1966-078A;1966-078A;24/08/1966;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;3616;Unknown;Orbit;;Success;;;Moon impact;M;Impacted (orbit decay);Unknown (1966)   ;;g;Unknown;Unknown;;;;;;;;;;;;;;;;
Surveyor 2;Surveyor 2;Surveyor;-;1966-084A;1966-084A;20/09/1966;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;292;Unknown;Soft landing;;Failure;Spacecraft malfunction;;Moon surface;M;Impacted (unintentional);23/09/1966;estimated;c;5.5;348;;;;;;;;;;;;;;;;
Luna 12;Luna 12;Luna;-;1966-094A;1966-094A;22/10/1966;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;1620;Unknown;Orbit;;Success;;;Moon impact;M;Impacted (orbit decay);Unknown (1967)   ;;g;Unknown;Unknown;;;;;;;;;;;;;;;;
Lunar Orbiter 2;Lunar Orbiter 2;Lunar Orbiter;-;1966-100A;1966-100A;06/11/1966;Atlas-Agena D;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;385.6;375;Orbit;;Success;;;Moon impact;M;Impacted (commanded);11/10/1967;estimated (conflict ref);j;3;119.1;;;;;;;;;;;;;;;;
Luna 13;Luna 13;Luna;-;1966-116A;1966-116A;21/12/1966;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;1620;Unknown;Soft landing;;Success;;;Moon surface;M;Soft landed (Moon);24/12/1966;TASS communiques;c;18.87;297.95;;;;;;;;;;;;;;;;Saddiqi has it at 18°52'N and 62°3' W
Lunar Orbiter 3;Lunar Orbiter 3;Lunar Orbiter;-;1967-008A;1967-008A;05/02/1967;Atlas-Agena D;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;385.6;375;Orbit;;Partial success;Spacecraft malfunction;camera failure;Moon impact;M;Impacted (commanded);09/10/1967;estimated (conflict ref);j;14.3;267.3;;;;;;;;;;;;;;;;
Surveyor 3;Surveyor 3;Surveyor;-;1967-035A;1967-035A;17/04/1967;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;296;Unknown;Soft landing;;Success;;visited on the Moon by Apollo 12 crew.;Moon surface;M;Soft landed (Moon);20/04/1967;LRO;d;-3.0162;346.582;;;;;;;;;;;;;;;;
Lunar Orbiter 4;Lunar Orbiter 4;Lunar Orbiter;-;1967-041A;1967-041A;04/05/1967;Atlas-Agena D;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;385.6;375;Orbit;;Partial success;Spacecraft malfunction;camera failure;Moon impact;M;Impacted (orbit decay);Unknown (1967)   ;;k;Unknown;Unknown;;;;;;;;;;;;;;;;
Surveyor 4;Surveyor 4;Surveyor;-;1967-068A;1967-068A;14/07/1967;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;283;Unknown;Soft landing;;Failure;Lander failure;;Moon surface;M;Impacted (unintentional);17/07/1967;estimated;i;0.5;358.5;;;;;;;;;;;;;;;;
Explorer 35;Explorer 35;Explorer;-;1967-070A;1967-070A;19/07/1967;Delta;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;230;Unknown;Orbit;;Success;;;Moon impact;M;Impacted (orbit decay);Unknown;no;g;Unknown;Unknown;;;;;;;;;;;;;;;;
Lunar Orbiter 5;Lunar Orbiter 5;Lunar Orbiter;-;1967-075A;1967-075A;01/08/1967;Atlas-Agena D;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-ORB;;385.6;375;Orbit;;Success;;;Moon impact;M;Impacted (commanded);31/01/1968;estimated;l;-2.79;276.96;;;;;;;;;;;;;;;;
Surveyor 5;Surveyor 5;Surveyor;-;1967-084A;1967-084A;08/09/1967;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;303;Unknown;Soft landing;;Success;;;Moon surface;M;Soft landed (Moon);11/09/1967;LRO;d;1.4551;23.1943;;;;;;;;;;;;;;;;
Surveyor 6;Surveyor 6;Surveyor;-;1967-112A;1967-112A;07/11/1967;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;299.6;Unknown;Soft landing;;Success;;;Moon surface;M;Soft landed (Moon);10/11/1967;LRO;d;0.4742;358.5725;;;;;;;;;;;;;;;;
Surveyor 7;Surveyor 7;Surveyor;-;1968-001A;1968-001A;07/01/1968;Atlas-Centaur;Cape Canaveral, United States;NASA-Office of Space Science Applications ;USA;R-LND;;305.7;Unknown;Soft landing;;Success;;;Moon surface;M;Soft landed (Moon);10/01/1968;LRO;d;-40.9812;348.4873;;;;;;;;;;;;;;;;
Luna 1968A;Luna 1968A;Luna;-;N/A;N/A;07/02/1968;SL-6/A-2-e/Molniya/8K78;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;;Unknown;Orbit;;Unproven;Launcher failure;;Unknown;E;Destroyed during launch;07/02/1968;;;;;;;;;;;;;;;;;;;;
Luna 14;Luna 14;Luna;-;1968-027A;1968-027A;07/04/1968;Modified SS-6 (Sapwood) with 2nd Generation Upper Stage + Escape Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;1700;Unknown;Orbit;;Success;;;Moon impact;M;Impacted (orbit decay);Unknown;;g;Unknown;Unknown;;;;;;;;;;;;;;;;
Zond 1968A;Zond 1968A;Zond;-;N/A;N/A;22/04/1968;SL-12/D-1-e;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;C-ORB-U;;;Unknown;Fly-by;;Unproven;Launcher failure;;Earth soft landing;E;Destroyed during launch;22/04/1968;;;;;;;;;;;;;;;;;;;;
Zond 5;Zond 5;Zond;-;1968-076A;1968-076A;14/09/1968;Proton Booster Plus Upper Stage and Escape Stages;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;5375;Unknown;Fly-by;;Success;;first living creatures to fly past the Moon;Earth soft landing;E;Soft landed (Earth);21/09/1968;;;;;;;;;;;;;;;;;;;;
Zond 6;Zond 6;Zond;-;1968-101A;1968-101A;10/11/1968;Proton Booster Plus Upper Stage and Escape Stages;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ORB;;5375;Unknown;Fly-by;;Success;;animal cargo lost on landing.;Earth soft landing;E;Soft landed (Earth);17/11/1968;;;;;;;;;;;;;;;;;;;;
Apollo 8 Command Module;Apollo 8;Apollo;-;1968-118A;1968-118A;21/12/1968;Saturn 5;Cape Canaveral, United States;NASA-Office of Manned Space Flight ;USA;C-ORB;;28817;Unknown;Orbit;LLO;Success;;;Earth soft landing;E;Soft landed (Earth);27/12/1968;;;;;;;;;;;;;;;;;;;;
Apollo 8 Service Module;Apollo 8;Apollo;-;1968-118A;1968-118A;21/12/1968;Saturn 5;Cape Canaveral, United States;NASA-Office of Manned Space Flight ;USA;R-ORB;;;Unknown;Orbit;LLO;Success;;;Destructive Earth re-entry;E;Destroyed during re-entry;27/12/1968;;;;;;;;;;;;;;;;;;;;
Apollo 8 S-IVB;Apollo 8;Apollo;-;1968-118B;1968-118B;21/12/1968;Saturn 5;Cape Canaveral, United States;NASA-Office of Manned Space Flight ;USA;R-LAU;123000;13500;Unknown;Fly-by;;Success;;;Heliocentric orbit;S;Orbit (Sun);24/12/1968;;;;;Yes;0.902;0.987;0.944;334.7494437;0.046;0.97;272;278.8;08/06/1968 06:43;;;cylinder;18.7;6.6;horizons
Zond 1969A;Zond 1969A;Zond;-;N/A;N/A;20/01/1969;SL-12/D-1-e;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;C-ORB-U;;;Unknown;Fly-by;;Unproven;Launcher failure;;Earth soft landing;E;Destroyed during launch;20/01/1969;;;;;;;;;;;;;;;;;;;;
Luna 1969A;Luna 1969A;Luna;-;N/A;N/A;19/02/1969;SL-12/D-1-e;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-LND;;;Unknown;Soft landing;;Unproven;Launcher failure;;Moon surface;E;Destroyed during launch;19/02/1969;;;;;;;;;;;;;;;;;;;;
Luna 1969A Lunokhod;Luna 1969A;Luna;Luna 1969A;N/A;N/A;19/02/1969;SL-12/D-1-e;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ROV;;;Unknown;Surface exploration;;Unproven;Launcher failure;it had radioactive material on board;Moon surface;E;Destroyed during launch;19/02/1969;;;;;;;;;;;;;;;;;;;;
Zond L1S-1;Zond L1S-1;Zond;-;N/A;N/A;21/02/1969;SL-15/N-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;C-ORB-U;;;Unknown;Orbit;;Unproven;Launcher failure;;Unknown;E;Destroyed during launch;21/02/1969;;;;;;;;;;;;;;;;;;;;
Luna 1969B Ascent and re-entry stage;Luna 1969B;Luna;-;N/A;N/A;15/04/1969;SL-12/D-1-e;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-ASC;;1880;Unknown;Sample return (from surface);;Unproven;Launcher failure;;Earth soft landing;E;Destroyed during launch;15/04/1969;;;;;;;;;;;;;;;;;;;;
